Learning Content,Availability Status,Available Capacity,Sydney Start Date,Sydney End Date,Sydney Registration Deadline
HCM Services Practical - Learn Virtual,Open,Yes,2024-03-19 15:00:00+11:00,2024-03-23 23:00:00+11:00,2024-03-14 15:00:00+11:00
Integration Essential Concepts Consulting Core - Learn Virtual,Open,Yes,2024-03-19 15:00:00+11:00,2024-03-23 21:00:00+11:00,2024-03-14 15:00:00+11:00
End-to-End Connector Integrations Consulting Core - Learn Virtual,Open,Yes,2024-03-19 15:00:00+11:00,2024-03-23 21:00:00+11:00,2024-03-14 15:00:00+11:00
Accounting Center - Learn Virtual,Open,Yes,2024-03-19 15:00:00+11:00,2024-03-21 20:00:00+11:00,2024-03-14 15:00:00+11:00
Financial Services Practical - Learn Virtual,Open,Yes,2024-03-19 15:00:00+11:00,2024-03-23 23:00:00+11:00,2024-03-14 15:00:00+11:00
Customer Accounts and Customer Contracts Consulting Core - Learn Virtual,Open,Yes,2024-03-19 15:00:00+11:00,2024-03-23 21:00:00+11:00,2024-03-14 15:00:00+11:00
Reporting Essential Concepts Consulting Core - Learn Virtual,Open,Yes,2024-03-19 16:30:00+11:00,2024-03-24 00:30:00+11:00,2024-03-14 16:30:00+11:00
HCM Applied Concepts Consulting Core - Learn Virtual,Open,Yes,2024-03-19 16:30:00+11:00,2024-03-23 01:30:00+11:00,2024-03-14 16:30:00+11:00
Benefits Consulting Core - Learn Virtual,Open,Yes,2024-03-19 16:30:00+11:00,2024-03-24 01:30:00+11:00,2024-03-14 16:30:00+11:00
Recruiting Consulting Core - Learn Virtual,Open,Yes,2024-03-19 16:30:00+11:00,2024-03-24 01:30:00+11:00,2024-03-14 16:30:00+11:00
Student Essential Concepts Consulting Core - Learn Virtual,Open,Yes,2024-03-19 17:00:00+11:00,2024-03-24 01:00:00+11:00,2024-03-14 17:00:00+11:00
Talent Management - Learn Virtual,Open,Yes,2024-03-19 17:00:00+11:00,2024-03-20 22:00:00+11:00,2024-03-14 17:00:00+11:00
Procure to Pay Consulting Core - Learn Virtual,Open,Yes,2024-03-19 17:00:00+11:00,2024-03-23 23:00:00+11:00,2024-03-14 17:00:00+11:00
Customer Accounts and Customer Contracts - Learn Virtual,Open,Yes,2024-03-19 17:00:00+11:00,2024-03-22 22:00:00+11:00,2024-03-14 17:00:00+11:00
Financial Accounting - Learn Virtual,Open,Yes,2024-03-19 17:00:00+11:00,2024-03-22 22:00:00+11:00,2024-03-14 17:00:00+11:00
Student Financials Fundamentals - Learn Virtual,Open,Yes,2024-03-19 19:00:00+11:00,2024-03-23 03:00:00+11:00,2024-03-14 19:00:00+11:00
Student Financials Consulting Core - Learn Virtual,Open,Yes,2024-03-19 19:00:00+11:00,2024-03-24 03:00:00+11:00,2024-03-14 19:00:00+11:00
Workday Integration System Fundamentals - Learn Virtual,Open,Yes,2024-03-19 19:00:00+11:00,2024-03-21 00:00:00+11:00,2024-03-14 19:00:00+11:00
HCM Applied Concepts Consulting Core - Learn Virtual,Open,Yes,2024-03-19 20:30:00+11:00,2024-03-23 05:30:00+11:00,2024-03-14 20:30:00+11:00
Advanced Data Conversion Consulting Core - Learn Virtual,Open,Yes,2024-03-19 21:00:00+11:00,2024-03-24 02:00:00+11:00,2024-03-14 21:00:00+11:00
Custom Integrations Consulting Core - Learn Virtual,Open,Yes,2024-03-19 21:00:00+11:00,2024-03-24 03:00:00+11:00,2024-03-14 21:00:00+11:00
HCM Fundamentals - Learn Virtual,Open,Yes,2024-03-19 09:00:00+11:00,2024-03-22 17:00:00+11:00,2024-03-14 09:00:00+11:00
Financial Fundamentals - Learn Virtual,Open,Yes,2024-03-19 09:00:00+11:00,2024-03-22 17:00:00+11:00,2024-03-14 09:00:00+11:00
HCM Fundamentals - Learn Virtual,Open,Yes,2024-03-19 09:00:00+11:00,2024-03-22 17:00:00+11:00,2024-03-14 09:00:00+11:00
HCM Fundamentals - Learn Virtual,Open,Yes,2024-03-19 15:00:00+11:00,2024-03-22 23:00:00+11:00,2024-03-14 15:00:00+11:00
XSLT for Workday - Learn Virtual,Open,Yes,2024-03-19 15:00:00+11:00,2024-03-20 20:00:00+11:00,2024-03-14 15:00:00+11:00
Configurable Security Fundamentals - Learn Virtual,Open,Yes,2024-03-19 15:00:00+11:00,2024-03-20 20:00:00+11:00,2024-03-14 15:00:00+11:00
Financial Essential Concepts Consulting Core - Learn Virtual,Open,Yes,2024-03-20 04:30:00+11:00,2024-03-23 13:30:00+11:00,2024-03-15 04:30:00+11:00
HCM Essential Concepts Consulting Core - Learn Virtual,Open,Yes,2024-03-20 04:30:00+11:00,2024-03-23 13:30:00+11:00,2024-03-15 04:30:00+11:00
HCM Fundamentals - Learn Virtual,Open,Yes,2024-03-20 07:00:00+11:00,2024-03-23 15:00:00+11:00,2024-03-15 07:00:00+11:00
HCM Essential Concepts Consulting Core - Learn Virtual,Open,Yes,2024-03-20 14:30:00+11:00,2024-03-23 23:30:00+11:00,2024-03-15 14:30:00+11:00
Learning Consulting Core - Learn Virtual,Open,Yes,2024-03-20 14:30:00+11:00,2024-03-23 23:30:00+11:00,2024-03-15 14:30:00+11:00
Financial Essential Concepts Consulting Core - Learn Virtual,Open,Yes,2024-03-20 14:30:00+11:00,2024-03-23 23:30:00+11:00,2024-03-15 14:30:00+11:00
Time Tracking Fundamentals - Learn Virtual,Open,Yes,2024-03-20 15:00:00+11:00,2024-03-23 23:00:00+11:00,2024-03-15 15:00:00+11:00
Payroll Fundamentals - Learn Virtual,Open,Yes,2024-03-20 15:00:00+11:00,2024-03-23 23:00:00+11:00,2024-03-15 15:00:00+11:00
