Learning Content,Availability Status,Available Capacity,Sydney Start Date,Sydney End Date,Sydney Registration Deadline
Report Writer - Learn Virtual,Open,Yes,2024-04-23 13:00:00+10:00,2024-04-25 18:00:00+10:00,2024-04-18 13:00:00+10:00
Workday Integration System Fundamentals - Learn Virtual,Open,Yes,2024-04-23 13:00:00+10:00,2024-04-24 18:00:00+10:00,2024-04-18 13:00:00+10:00
Custom Integrations Consulting Core - Learn Virtual,Open,Yes,2024-04-23 13:00:00+10:00,2024-04-27 19:00:00+10:00,2024-04-18 13:00:00+10:00
Integration Essential Concepts Consulting Core - Learn Virtual,Open,Yes,2024-04-23 13:00:00+10:00,2024-04-27 19:00:00+10:00,2024-04-18 13:00:00+10:00
Cloud Connect Third Party Payroll Maintenance - Learn Virtual,Open,Yes,2024-04-23 13:00:00+10:00,2024-04-26 18:00:00+10:00,2024-04-18 13:00:00+10:00
Workday Extend: Advanced Presentation Components - Learn Virtual,Open,Yes,2024-04-23 13:00:00+10:00,2024-04-25 18:00:00+10:00,2024-04-18 13:00:00+10:00
Financial Consolidations - Learn Virtual,Open,Yes,2024-04-23 13:00:00+10:00,2024-04-24 19:00:00+10:00,2024-04-18 13:00:00+10:00
Time Tracking Consulting Core - Learn Virtual,Open,Yes,2024-04-23 14:30:00+10:00,2024-04-27 23:30:00+10:00,2024-04-18 14:30:00+10:00
Benefits Consulting Core - Learn Virtual,Open,Yes,2024-04-23 14:30:00+10:00,2024-04-27 23:30:00+10:00,2024-04-18 14:30:00+10:00
HCM Services Practical - Learn Virtual,Open,Yes,2024-04-23 15:00:00+10:00,2024-04-27 23:00:00+10:00,2024-04-18 15:00:00+10:00
Talent Management - Learn Virtual,Open,Yes,2024-04-23 15:00:00+10:00,2024-04-24 20:00:00+10:00,2024-04-18 15:00:00+10:00
HCM Applied Concepts Consulting Core - Learn Virtual,Open,Yes,2024-04-23 15:00:00+10:00,2024-04-26 23:00:00+10:00,2024-04-18 15:00:00+10:00
Student Financial Aid Fundamentals - Learn Virtual,Open,Yes,2024-04-23 15:00:00+10:00,2024-04-26 23:00:00+10:00,2024-04-18 15:00:00+10:00
Student Financial Aid Consulting Core - Learn Virtual,Open,Yes,2024-04-23 15:00:00+10:00,2024-04-27 23:00:00+10:00,2024-04-18 15:00:00+10:00
Adaptive Planning Essential Concepts Consulting Core - Learn Virtual,Open,Yes,2024-04-23 15:00:00+10:00,2024-04-27 21:00:00+10:00,2024-04-18 15:00:00+10:00
Financial Services Practical - Learn Virtual,Open,Yes,2024-04-23 15:00:00+10:00,2024-04-27 23:00:00+10:00,2024-04-18 15:00:00+10:00
Financial Reporting Concepts Consulting Core - Learn Virtual,Open,Yes,2024-04-23 18:30:00+10:00,2024-04-28 02:30:00+10:00,2024-04-18 18:30:00+10:00
HCM Recertification Exam,Open,Yes,2024-04-23 19:00:00+10:00,2024-04-24 01:00:00+10:00,2024-04-18 19:00:00+10:00
Financial Accounting Consulting Core - Learn Virtual,Open,Yes,2024-04-23 19:00:00+10:00,2024-04-28 01:00:00+10:00,2024-04-18 19:00:00+10:00
Configurable Security Fundamentals - Learn Virtual,Open,Yes,2024-04-23 19:00:00+10:00,2024-04-25 00:00:00+10:00,2024-04-18 19:00:00+10:00
HCM Fundamentals - Learn Virtual,Open,Yes,2024-04-23 13:00:00+10:00,2024-04-26 21:00:00+10:00,2024-04-18 13:00:00+10:00
Report Writer - Learn Virtual,Open,Yes,2024-04-23 13:00:00+10:00,2024-04-25 18:00:00+10:00,2024-04-18 13:00:00+10:00
HCM Essential Concepts Consulting Core - Learn Virtual,Open,Yes,2024-04-24 00:30:00+10:00,2024-04-27 09:30:00+10:00,2024-04-19 00:30:00+10:00
Recruiting Fundamentals - Learn Virtual,Open,Yes,2024-04-24 01:00:00+10:00,2024-04-27 09:00:00+10:00,2024-04-19 01:00:00+10:00
Financial Fundamentals - Learn Virtual,Open,Yes,2024-04-24 01:00:00+10:00,2024-04-27 09:00:00+10:00,2024-04-19 01:00:00+10:00
Advanced Compensation Fundamentals - Learn Virtual,Open,Yes,2024-04-24 03:00:00+10:00,2024-04-27 11:00:00+10:00,2024-04-19 03:00:00+10:00
HCM Fundamentals - Learn Virtual,Open,Yes,2024-04-24 03:00:00+10:00,2024-04-27 11:00:00+10:00,2024-04-19 03:00:00+10:00
HCM Fundamentals - Learn In-Person,Open,Yes,2024-04-24 03:00:00+10:00,2024-04-27 11:00:00+10:00,2024-04-19 03:00:00+10:00
HCM Essential Concepts Consulting Core - Learn Virtual,Open,Yes,2024-04-24 12:30:00+10:00,2024-04-27 21:30:00+10:00,2024-04-19 12:30:00+10:00
Financial Essential Concepts Consulting Core - Learn Virtual,Open,Yes,2024-04-24 12:30:00+10:00,2024-04-27 21:30:00+10:00,2024-04-19 12:30:00+10:00
Business Process Fundamentals - Learn Virtual,Open,Yes,2024-04-24 13:00:00+10:00,2024-04-26 18:00:00+10:00,2024-04-19 13:00:00+10:00
Advanced Business Process - Learn Virtual,Open,Yes,2024-04-24 13:00:00+10:00,2024-04-25 18:00:00+10:00,2024-04-19 13:00:00+10:00
Calculated Fields - Learn Virtual,Open,Yes,2024-04-24 13:00:00+10:00,2024-04-25 18:00:00+10:00,2024-04-19 13:00:00+10:00
HCM Fundamentals - Learn Virtual,Open,Yes,2024-04-24 13:00:00+10:00,2024-04-27 21:00:00+10:00,2024-04-19 13:00:00+10:00
Time Off Fundamentals - Learn Virtual,Open,Yes,2024-04-24 13:00:00+10:00,2024-04-27 21:00:00+10:00,2024-04-19 13:00:00+10:00
Recruiting Fundamentals - Learn Virtual,Open,Yes,2024-04-24 13:00:00+10:00,2024-04-27 21:00:00+10:00,2024-04-19 13:00:00+10:00
Benefits Fundamentals - Learn Virtual,Open,Yes,2024-04-24 13:00:00+10:00,2024-04-27 21:00:00+10:00,2024-04-19 13:00:00+10:00
Financial Fundamentals - Learn Virtual,Open,Yes,2024-04-24 13:00:00+10:00,2024-04-27 21:00:00+10:00,2024-04-19 13:00:00+10:00
Learning Fundamentals - Learn Virtual,Open,Yes,2024-04-24 13:00:00+10:00,2024-04-27 21:00:00+10:00,2024-04-19 13:00:00+10:00
Recruiting Fundamentals - Learn In-Person,Open,Yes,2024-04-24 13:00:00+10:00,2024-04-27 21:00:00+10:00,2024-04-19 13:00:00+10:00
HCM Fundamentals - Learn In-Person,Open,Yes,2024-04-24 13:00:00+10:00,2024-04-27 21:00:00+10:00,2024-04-19 13:00:00+10:00
Compensation Fundamentals - Learn Virtual,Open,Yes,2024-04-24 13:00:00+10:00,2024-04-27 21:00:00+10:00,2024-04-19 13:00:00+10:00
HCM Essential Concepts Consulting Core - Learn Virtual,Open,Yes,2024-04-24 14:30:00+10:00,2024-04-27 23:30:00+10:00,2024-04-19 14:30:00+10:00
Composite Reporting Fundamentals - Learn Virtual,Open,Yes,2024-04-24 15:00:00+10:00,2024-04-26 20:00:00+10:00,2024-04-19 15:00:00+10:00
Payroll Fundamentals - Learn Virtual,Open,Yes,2024-04-24 15:00:00+10:00,2024-04-27 23:00:00+10:00,2024-04-19 15:00:00+10:00
HCM Fundamentals - Learn Virtual,Open,Yes,2024-04-24 15:00:00+10:00,2024-04-27 23:00:00+10:00,2024-04-19 15:00:00+10:00
Learning Fundamentals - Learn Virtual,Open,Yes,2024-04-24 15:00:00+10:00,2024-04-27 23:00:00+10:00,2024-04-19 15:00:00+10:00
Advanced Compensation Fundamentals - Learn Virtual,Open,Yes,2024-04-24 15:00:00+10:00,2024-04-27 23:00:00+10:00,2024-04-19 15:00:00+10:00
HCM Fundamentals - Learn Virtual,Open,Yes,2024-04-24 15:00:00+10:00,2024-04-27 23:00:00+10:00,2024-04-19 15:00:00+10:00
XSLT for Workday - Learn Virtual,Open,Yes,2024-04-24 15:00:00+10:00,2024-04-25 20:00:00+10:00,2024-04-19 15:00:00+10:00
Adaptive Planning Integrations Consulting Core - Learn Virtual,Open,Yes,2024-04-24 15:00:00+10:00,2024-05-02 21:00:00+10:00,2024-04-19 15:00:00+10:00
Financial Fundamentals - Learn Virtual,Open,Yes,2024-04-24 15:00:00+10:00,2024-04-27 23:00:00+10:00,2024-04-19 15:00:00+10:00
Advanced Reporting and Analytics - Learn Virtual,Open,Yes,2024-04-24 17:00:00+10:00,2024-04-26 22:00:00+10:00,2024-04-19 17:00:00+10:00
Learning Consulting Core - Learn Virtual,Open,Yes,2024-04-24 18:30:00+10:00,2024-04-28 03:30:00+10:00,2024-04-19 18:30:00+10:00
Time Tracking Fundamentals - Learn Virtual,Open,Yes,2024-04-24 19:00:00+10:00,2024-04-28 03:00:00+10:00,2024-04-19 19:00:00+10:00
Compensation Fundamentals - Learn Virtual,Open,Yes,2024-04-24 19:00:00+10:00,2024-04-28 03:00:00+10:00,2024-04-19 19:00:00+10:00
Recruiting Fundamentals - Learn Virtual,Open,Yes,2024-04-24 19:00:00+10:00,2024-04-28 03:00:00+10:00,2024-04-19 19:00:00+10:00
Performance Enablement - Learn Virtual,Open,Yes,2024-04-25 03:00:00+10:00,2024-04-27 08:00:00+10:00,2024-04-20 03:00:00+10:00
Advanced Reporting and Analytics - Learn Virtual,Open,Yes,2024-04-25 03:00:00+10:00,2024-04-27 08:00:00+10:00,2024-04-20 03:00:00+10:00
Advanced Workday Studio - Learn Virtual,Open,Yes,2024-04-25 03:00:00+10:00,2024-04-27 08:00:00+10:00,2024-04-20 03:00:00+10:00
Report Writer - Learn Virtual,Open,Yes,2024-04-25 03:00:00+10:00,2024-04-27 08:00:00+10:00,2024-04-20 03:00:00+10:00
Workday Extend: Advanced Presentation Components - Learn Virtual,Open,Yes,2024-04-25 03:00:00+10:00,2024-04-27 08:00:00+10:00,2024-04-20 03:00:00+10:00
Prism Analytics - Learn Virtual,Open,Yes,2024-04-25 13:00:00+10:00,2024-04-27 18:00:00+10:00,2024-04-20 13:00:00+10:00
Performance Enablement - Learn Virtual,Open,Yes,2024-04-25 15:00:00+10:00,2024-04-27 20:00:00+10:00,2024-04-22 15:00:00+10:00
Report Writer - Learn Virtual,Open,Yes,2024-04-25 19:00:00+10:00,2024-04-28 00:00:00+10:00,2024-04-22 19:00:00+10:00
Introduction to Workday Studio - Learn Virtual,Open,Yes,2024-04-26 13:00:00+10:00,2024-04-27 18:00:00+10:00,2024-04-23 13:00:00+10:00
Workday Extend Fundamentals - Learn Virtual,Open,Yes,2024-04-26 13:00:00+10:00,2024-04-27 18:00:00+10:00,2024-04-23 13:00:00+10:00
Workday Report Designer (BIRT) - Learn Virtual,Open,Yes,2024-04-26 15:00:00+10:00,2024-04-27 20:00:00+10:00,2024-04-23 15:00:00+10:00
Calculated Fields - Learn Virtual,Open,Yes,2024-04-26 19:00:00+10:00,2024-04-28 00:00:00+10:00,2024-04-23 19:00:00+10:00
Advanced Composite Reporting - Learn Virtual,Open,Yes,2024-04-26 19:00:00+10:00,2024-04-28 00:00:00+10:00,2024-04-23 19:00:00+10:00
Financial Services Practical - Learn Virtual,Open,Yes,2024-04-29 10:00:00+10:00,2024-05-03 18:00:00+10:00,2024-04-24 10:00:00+10:00
Integration Security - Learn Virtual,Open,Yes,2024-04-29 13:00:00+10:00,2024-04-30 18:00:00+10:00,2024-04-24 13:00:00+10:00
HCM Applied Concepts Consulting Core - Learn Virtual,Open,Yes,2024-04-30 02:30:00+10:00,2024-05-03 11:30:00+10:00,2024-04-25 02:30:00+10:00
Calculated Fields - Learn Virtual,Open,Yes,2024-04-30 03:00:00+10:00,2024-05-01 08:00:00+10:00,2024-04-25 03:00:00+10:00
Financial Accounting - Learn Virtual,Open,Yes,2024-04-30 03:00:00+10:00,2024-05-03 08:00:00+10:00,2024-04-25 03:00:00+10:00
HCM Services Practical - Learn Virtual,Open,Yes,2024-04-30 03:00:00+10:00,2024-05-04 11:00:00+10:00,2024-04-25 03:00:00+10:00
Inbound EIB Integrations - Learn Virtual,Open,Yes,2024-04-30 03:00:00+10:00,2024-05-01 08:00:00+10:00,2024-04-25 03:00:00+10:00
Financial Accounting Consulting Core - Learn Virtual,Open,Yes,2024-04-30 03:00:00+10:00,2024-05-04 09:00:00+10:00,2024-04-25 03:00:00+10:00
XSLT for Workday - Learn Virtual,Open,Yes,2024-04-30 03:00:00+10:00,2024-05-01 08:00:00+10:00,2024-04-25 03:00:00+10:00
Workday Extend: Advanced Data and Orchestration Services - Learn Virtual,Open,Yes,2024-04-30 03:00:00+10:00,2024-05-02 08:00:00+10:00,2024-04-25 03:00:00+10:00
Reporting Essential Concepts Consulting Core - Learn Virtual,Open,Yes,2024-04-30 12:30:00+10:00,2024-05-04 20:30:00+10:00,2024-04-25 12:30:00+10:00
Advanced Configurable Security - Learn Virtual,Open,Yes,2024-04-30 13:00:00+10:00,2024-05-01 18:00:00+10:00,2024-04-25 13:00:00+10:00
Business Process Fundamentals - Learn Virtual,Open,Yes,2024-04-30 13:00:00+10:00,2024-05-02 18:00:00+10:00,2024-04-25 13:00:00+10:00
Talent Management - Learn Virtual,Open,Yes,2024-04-30 13:00:00+10:00,2024-05-01 18:00:00+10:00,2024-04-25 13:00:00+10:00
Customer Accounts and Customer Contracts - Learn Virtual,Open,Yes,2024-04-30 13:00:00+10:00,2024-05-03 18:00:00+10:00,2024-04-25 13:00:00+10:00
Student Essential Concepts Consulting Core - Learn Virtual,Open,Yes,2024-04-30 13:00:00+10:00,2024-05-04 21:00:00+10:00,2024-04-25 13:00:00+10:00
Workday Extend: Advanced Data and Orchestration Services - Learn Virtual,Open,Yes,2024-04-30 13:00:00+10:00,2024-05-02 18:00:00+10:00,2024-04-25 13:00:00+10:00
Integration Essential Concepts Consulting Core - Learn Virtual,Open,Yes,2024-04-30 13:00:00+10:00,2024-05-04 19:00:00+10:00,2024-04-25 13:00:00+10:00
Workday Integration System Fundamentals - Learn Virtual,Open,Yes,2024-04-30 13:00:00+10:00,2024-05-01 18:00:00+10:00,2024-04-25 13:00:00+10:00
HCM Applied Concepts Consulting Core - Learn Virtual,Open,Yes,2024-04-30 13:00:00+10:00,2024-05-03 21:00:00+10:00,2024-04-25 13:00:00+10:00
Adaptive Planning Fundamentals - Learn Virtual,Open,Yes,2024-04-30 13:00:00+10:00,2024-05-03 20:00:00+10:00,2024-04-25 13:00:00+10:00
Financial Accounting - Learn Virtual,Open,Yes,2024-04-30 13:00:00+10:00,2024-05-03 18:00:00+10:00,2024-04-25 13:00:00+10:00
Accounting Center Consulting Core - Learn Virtual,Open,Yes,2024-04-30 13:00:00+10:00,2024-05-03 19:00:00+10:00,2024-04-25 13:00:00+10:00
Talent Optimization Consulting Core - Learn Virtual,Open,Yes,2024-04-30 13:00:00+10:00,2024-05-04 21:00:00+10:00,2024-04-25 13:00:00+10:00
Payroll Services Practical - Learn Virtual,Open,Yes,2024-04-30 13:00:00+10:00,2024-05-04 21:00:00+10:00,2024-04-25 13:00:00+10:00
Compensation Consulting Core - Learn Virtual,Open,Yes,2024-04-30 14:30:00+10:00,2024-05-04 23:30:00+10:00,2024-04-25 14:30:00+10:00
Advanced Compensation Consulting Core - Learn Virtual,Open,Yes,2024-04-30 14:30:00+10:00,2024-05-04 23:30:00+10:00,2024-04-25 14:30:00+10:00
Calculated Fields - Learn Virtual,Open,Yes,2024-04-30 15:00:00+10:00,2024-05-01 20:00:00+10:00,2024-04-25 15:00:00+10:00
Onboarding Fundamentals - Learn Virtual,Open,Yes,2024-04-30 15:00:00+10:00,2024-05-01 20:00:00+10:00,2024-04-25 15:00:00+10:00
HCM Services Practical - Learn Virtual,Open,Yes,2024-04-30 15:00:00+10:00,2024-05-04 23:00:00+10:00,2024-04-25 15:00:00+10:00
Custom Integrations Consulting Core - Learn Virtual,Open,Yes,2024-04-30 15:00:00+10:00,2024-05-04 21:00:00+10:00,2024-04-25 15:00:00+10:00
Adaptive Planning Applied Concepts Consulting Core - Learn Virtual,Open,Yes,2024-04-30 15:00:00+10:00,2024-05-04 21:00:00+10:00,2024-04-25 15:00:00+10:00
Procure to Pay Fundamentals - Learn Virtual,Open,Yes,2024-04-30 15:00:00+10:00,2024-05-03 20:00:00+10:00,2024-04-25 15:00:00+10:00
Configurable Security Fundamentals - Learn Virtual,Open,Yes,2024-04-30 19:00:00+10:00,2024-05-02 00:00:00+10:00,2024-04-25 19:00:00+10:00
Prism Analytics - Learn Virtual,Open,Yes,2024-04-30 19:00:00+10:00,2024-05-03 00:00:00+10:00,2024-04-25 19:00:00+10:00
Inbound EIB Integrations - Learn Virtual,Open,Yes,2024-04-30 19:00:00+10:00,2024-05-02 00:00:00+10:00,2024-04-25 19:00:00+10:00
Customer Accounts and Customer Contracts Consulting Core - Learn Virtual,Open,Yes,2024-04-30 19:00:00+10:00,2024-05-05 01:00:00+10:00,2024-04-25 19:00:00+10:00
Payroll Fundamentals - Learn Virtual,Open,Yes,2024-04-30 09:00:00+10:00,2024-05-03 17:00:00+10:00,2024-04-25 09:00:00+10:00
Business Process Fundamentals - Learn Virtual,Open,Yes,2024-04-30 13:00:00+10:00,2024-05-02 18:00:00+10:00,2024-04-25 13:00:00+10:00
Financial Essential Concepts Consulting Core - Learn Virtual,Open,Yes,2024-05-01 00:30:00+10:00,2024-05-04 09:30:00+10:00,2024-04-26 00:30:00+10:00
HCM Essential Concepts Consulting Core - Learn Virtual,Open,Yes,2024-05-01 02:30:00+10:00,2024-05-04 11:30:00+10:00,2024-04-26 02:30:00+10:00
HCM Fundamentals - Learn Virtual,Open,Yes,2024-05-01 03:00:00+10:00,2024-05-04 11:00:00+10:00,2024-04-26 03:00:00+10:00
Time Off Fundamentals - Learn In-Person,Open,Yes,2024-05-01 03:00:00+10:00,2024-05-04 11:00:00+10:00,2024-04-26 03:00:00+10:00
Time Off Fundamentals - Learn Virtual,Open,Yes,2024-05-01 03:00:00+10:00,2024-05-04 11:00:00+10:00,2024-04-26 03:00:00+10:00
Financial Fundamentals - Learn Virtual,Open,Yes,2024-05-01 03:00:00+10:00,2024-05-04 11:00:00+10:00,2024-04-26 03:00:00+10:00
HCM Fundamentals - Learn Virtual,Open,Yes,2024-05-01 03:00:00+10:00,2024-05-04 11:00:00+10:00,2024-04-26 03:00:00+10:00
Payroll Fundamentals - Learn Virtual,Open,Yes,2024-05-01 13:00:00+10:00,2024-05-04 21:00:00+10:00,2024-04-26 13:00:00+10:00
Time Tracking Fundamentals - Learn Virtual,Open,Yes,2024-05-01 13:00:00+10:00,2024-05-04 21:00:00+10:00,2024-04-26 13:00:00+10:00
Benefits Fundamentals - Learn Virtual,Open,Yes,2024-05-01 13:00:00+10:00,2024-05-04 21:00:00+10:00,2024-04-26 13:00:00+10:00
HCM Fundamentals - Learn Virtual,Open,Yes,2024-05-01 13:00:00+10:00,2024-05-04 21:00:00+10:00,2024-04-26 13:00:00+10:00
Workday Extend Consulting Core - Learn Virtual,Open,Yes,2024-05-01 13:00:00+10:00,2024-05-10 19:00:00+10:00,2024-04-26 13:00:00+10:00
Workday Studio Consulting Core - Learn Virtual,Open,Yes,2024-05-01 13:00:00+10:00,2024-05-10 19:00:00+10:00,2024-04-26 13:00:00+10:00
HCM Essential Concepts Consulting Core - Learn Virtual,Open,Yes,2024-05-01 14:30:00+10:00,2024-05-04 23:30:00+10:00,2024-04-26 14:30:00+10:00
Report Writer - Learn Virtual,Open,Yes,2024-05-01 15:00:00+10:00,2024-05-03 20:00:00+10:00,2024-04-26 15:00:00+10:00
Compensation Fundamentals - Learn Virtual,Open,Yes,2024-05-01 15:00:00+10:00,2024-05-04 23:00:00+10:00,2024-04-26 15:00:00+10:00
Advanced Compensation Fundamentals - Learn Virtual,Open,Yes,2024-05-01 15:00:00+10:00,2024-05-04 23:00:00+10:00,2024-04-26 15:00:00+10:00
HCM Fundamentals - Learn Virtual,Open,Yes,2024-05-01 15:00:00+10:00,2024-05-04 23:00:00+10:00,2024-04-26 15:00:00+10:00
Time Off Fundamentals - Learn Virtual,Open,Yes,2024-05-01 15:00:00+10:00,2024-05-04 23:00:00+10:00,2024-04-26 15:00:00+10:00
Learning Fundamentals - Learn Virtual,Open,Yes,2024-05-01 15:00:00+10:00,2024-05-04 23:00:00+10:00,2024-04-26 15:00:00+10:00
Recruiting Fundamentals - Learn Virtual,Open,Yes,2024-05-01 15:00:00+10:00,2024-05-04 23:00:00+10:00,2024-04-26 15:00:00+10:00
HCM Fundamentals - Learn Virtual,Open,Yes,2024-05-01 15:00:00+10:00,2024-05-04 23:00:00+10:00,2024-04-26 15:00:00+10:00
Student Fundamentals - Learn Virtual,Open,Yes,2024-05-01 15:00:00+10:00,2024-05-04 23:00:00+10:00,2024-04-26 15:00:00+10:00
Payroll Fundamentals - Learn Virtual,Open,Yes,2024-05-01 19:00:00+10:00,2024-05-05 03:00:00+10:00,2024-04-26 19:00:00+10:00
Payroll Fundamentals - Learn In-Person,Open,Yes,2024-05-01 19:00:00+10:00,2024-05-05 03:00:00+10:00,2024-04-26 19:00:00+10:00
HCM Fundamentals - Learn Virtual,Open,Yes,2024-05-01 19:00:00+10:00,2024-05-05 03:00:00+10:00,2024-04-26 19:00:00+10:00
Financial Fundamentals - Learn Virtual,Open,Yes,2024-05-01 19:00:00+10:00,2024-05-05 03:00:00+10:00,2024-04-26 19:00:00+10:00
Advanced Reporting and Analytics - Learn Virtual,Open,Yes,2024-05-02 03:00:00+10:00,2024-05-04 08:00:00+10:00,2024-04-27 03:00:00+10:00
Business Process Fundamentals - Learn Virtual,Open,Yes,2024-05-02 03:00:00+10:00,2024-05-04 08:00:00+10:00,2024-04-27 03:00:00+10:00
Advanced Reporting and Analytics - Learn Virtual,Open,Yes,2024-05-02 13:00:00+10:00,2024-05-04 18:00:00+10:00,2024-04-27 13:00:00+10:00
Report Writer - Learn Virtual,Open,Yes,2024-05-02 13:00:00+10:00,2024-05-04 18:00:00+10:00,2024-04-27 13:00:00+10:00
Performance Enablement - Learn Virtual,Open,Yes,2024-05-02 13:00:00+10:00,2024-05-04 18:00:00+10:00,2024-04-27 13:00:00+10:00
Integration Security - Learn Virtual,Open,Yes,2024-05-02 13:00:00+10:00,2024-05-03 18:00:00+10:00,2024-04-27 13:00:00+10:00
Inbound EIB Integrations - Learn Virtual,Open,Yes,2024-05-02 13:00:00+10:00,2024-05-03 18:00:00+10:00,2024-04-27 13:00:00+10:00
Business Process Fundamentals - Learn Virtual,Open,Yes,2024-05-02 15:00:00+10:00,2024-05-04 20:00:00+10:00,2024-04-29 15:00:00+10:00
Report Writer - Learn Virtual,Open,Yes,2024-05-02 17:00:00+10:00,2024-05-04 22:00:00+10:00,2024-04-29 17:00:00+10:00
Advanced Workday Studio - Learn Virtual,Open,Yes,2024-05-02 17:00:00+10:00,2024-05-04 22:00:00+10:00,2024-04-29 17:00:00+10:00
Composite Reporting Fundamentals - Learn Virtual,Open,Yes,2024-05-02 19:00:00+10:00,2024-05-05 00:00:00+10:00,2024-04-29 19:00:00+10:00
Connectors and Document Transformation - Learn Virtual,Open,Yes,2024-05-02 19:00:00+10:00,2024-05-05 00:00:00+10:00,2024-04-29 19:00:00+10:00
Workday Report Designer (BIRT) - Learn Virtual,Open,Yes,2024-05-02 11:00:00+10:00,2024-05-03 16:00:00+10:00,2024-04-29 11:00:00+10:00
Introduction to Workday Studio - Learn Virtual,Open,Yes,2024-05-02 13:00:00+10:00,2024-05-03 18:00:00+10:00,2024-04-29 13:00:00+10:00
Introduction to Workday Studio - Learn Virtual,Open,Yes,2024-05-03 13:00:00+10:00,2024-05-04 18:00:00+10:00,2024-04-30 13:00:00+10:00
Workday Report Designer (BIRT) - Learn Virtual,Open,Yes,2024-05-03 13:00:00+10:00,2024-05-04 18:00:00+10:00,2024-04-30 13:00:00+10:00
XSLT for Workday - Learn Virtual,Open,Yes,2024-05-03 13:00:00+10:00,2024-05-04 18:00:00+10:00,2024-04-30 13:00:00+10:00
Workday Extend Fundamentals - Learn Virtual,Open,Yes,2024-05-03 13:00:00+10:00,2024-05-04 18:00:00+10:00,2024-04-30 13:00:00+10:00
Financial Reporting Concepts Consulting Core - Learn Virtual,Open,Yes,2024-05-06 09:00:00+10:00,2024-05-10 17:00:00+10:00,2024-05-01 09:00:00+10:00
Time Tracking Consulting Core - Learn Virtual,Open,Yes,2024-05-06 13:00:00+10:00,2024-05-10 22:00:00+10:00,2024-05-01 13:00:00+10:00
Integration Essential Concepts Consulting Core - Learn Virtual,Open,Yes,2024-05-06 13:00:00+10:00,2024-05-10 19:00:00+10:00,2024-05-01 13:00:00+10:00
Recruiting Fundamentals - Learn Virtual,Open,Yes,2024-05-06 13:00:00+10:00,2024-05-09 21:00:00+10:00,2024-05-01 13:00:00+10:00
Recruiting Consulting Core - Learn Virtual,Open,Yes,2024-05-06 13:00:00+10:00,2024-05-10 22:00:00+10:00,2024-05-01 13:00:00+10:00
Integration Essential Concepts Consulting Core - Learn Virtual,Open,Yes,2024-05-06 18:00:00+10:00,2024-05-11 00:00:00+10:00,2024-05-01 18:00:00+10:00
Reporting Essential Concepts Consulting Core - Learn Virtual,Open,Yes,2024-05-07 00:30:00+10:00,2024-05-11 09:30:00+10:00,2024-05-02 00:30:00+10:00
HCM Applied Concepts Consulting Core - Learn Virtual,Open,Yes,2024-05-07 00:30:00+10:00,2024-05-10 09:30:00+10:00,2024-05-02 00:30:00+10:00
Introduction to Workday Studio - Learn Virtual,Open,Yes,2024-05-07 03:00:00+10:00,2024-05-08 08:00:00+10:00,2024-05-02 03:00:00+10:00
Business Process Fundamentals - Learn Virtual,Open,Yes,2024-05-07 03:00:00+10:00,2024-05-09 08:00:00+10:00,2024-05-02 03:00:00+10:00
HCM Services Practical - Learn Virtual,Open,Yes,2024-05-07 03:00:00+10:00,2024-05-11 11:00:00+10:00,2024-05-02 03:00:00+10:00
Report Writer - Learn Virtual,Open,Yes,2024-05-07 03:00:00+10:00,2024-05-09 08:00:00+10:00,2024-05-02 03:00:00+10:00
Recruiting Consulting Core - Learn Virtual,Open,Yes,2024-05-07 12:30:00+10:00,2024-05-11 21:30:00+10:00,2024-05-02 12:30:00+10:00
Student Fundamentals - Learn Virtual,Open,Yes,2024-05-07 13:00:00+10:00,2024-05-10 21:00:00+10:00,2024-05-02 13:00:00+10:00
Workday Integration System Fundamentals - Learn Virtual,Open,Yes,2024-05-07 13:00:00+10:00,2024-05-08 18:00:00+10:00,2024-05-02 13:00:00+10:00
Calculated Fields - Learn Virtual,Open,Yes,2024-05-07 13:00:00+10:00,2024-05-08 18:00:00+10:00,2024-05-02 13:00:00+10:00
Prism Analytics - Learn Virtual,Open,Yes,2024-05-07 13:00:00+10:00,2024-05-09 18:00:00+10:00,2024-05-02 13:00:00+10:00
Payroll Fundamentals - Learn Virtual,Open,Yes,2024-05-07 13:00:00+10:00,2024-05-10 21:00:00+10:00,2024-05-02 13:00:00+10:00
Report Writer - Learn Virtual,Open,Yes,2024-05-07 13:00:00+10:00,2024-05-09 18:00:00+10:00,2024-05-02 13:00:00+10:00
Custom Integrations Consulting Core - Learn Virtual,Open,Yes,2024-05-07 13:00:00+10:00,2024-05-11 19:00:00+10:00,2024-05-02 13:00:00+10:00
Integration Essential Concepts Consulting Core - Learn Virtual,Open,Yes,2024-05-07 13:00:00+10:00,2024-05-11 19:00:00+10:00,2024-05-02 13:00:00+10:00
Accounting Center - Learn Virtual,Open,Yes,2024-05-07 13:00:00+10:00,2024-05-09 18:00:00+10:00,2024-05-02 13:00:00+10:00
End-to-End Connector Integrations Consulting Core - Learn Virtual,Open,Yes,2024-05-07 13:00:00+10:00,2024-05-11 19:00:00+10:00,2024-05-02 13:00:00+10:00
HCM Fundamentals - Learn Virtual,Open,Yes,2024-05-07 13:00:00+10:00,2024-05-10 21:00:00+10:00,2024-05-02 13:00:00+10:00
